type,value
variable 2,-0.8604480234086859
variable 2,-0.463562403755233
variable 2,-0.8604480234086859
variable 2,-1.2573336430621387
variable 2,-0.463562403755233
variable 2,-0.06667678410178014
variable 2,0.33020883555167274
variable 2,-0.06667678410178014
variable 2,1.5208656945120314
variable 2,-0.463562403755233
variable 2,0.33020883555167274
variable 2,-0.463562403755233
variable 2,-0.463562403755233
variable 2,-0.463562403755233
variable 2,-0.8604480234086859
variable 2,-0.8604480234086859
variable 2,1.917751314165484
variable 2,-0.8604480234086859
variable 2,-0.06667678410178014
variable 2,-0.06667678410178014
variable 2,0.7270944552051256
variable 2,-1.2573336430621387
variable 2,0.7270944552051256
variable 2,-0.8604480234086859
variable 2,0.7270944552051256
variable 2,-1.2573336430621387
variable 2,-0.463562403755233
variable 2,-0.463562403755233
variable 2,1.917751314165484
variable 2,-0.463562403755233
variable 2,-0.463562403755233
variable 2,-1.6542192627155916
variable 2,-0.8604480234086859
variable 2,1.1239800748585784
variable 2,1.5208656945120314
variable 2,1.1239800748585784
variable 2,-0.8604480234086859
variable 2,-1.2573336430621387
variable 2,3.108408173125843
variable 2,-0.463562403755233
variable 2,0.33020883555167274
variable 2,-0.463562403755233
variable 2,-0.463562403755233
variable 2,-1.2573336430621387
variable 2,-0.463562403755233
variable 2,-0.463562403755233
variable 2,0.7270944552051256
