type,value
variable 2,0.2238129076894108
variable 2,-0.5729893744326942
variable 2,-1.0156573089449747
variable 2,-1.5468588303597115
variable 2,-1.900993177969536
variable 2,-0.39592220062778194
variable 2,1.1091487767139718
variable 2,0.2238129076894108
variable 2,-1.3697916565547992
variable 2,-0.8385901351400625
variable 2,-1.104190895847431
variable 2,-1.6353924172621674
variable 2,-1.0156573089449747
variable 2,-0.21885502682286972
variable 2,0.1352793207869547
variable 2,0.5779472552992353
variable 2,0.8435480160066036
variable 2,0.3123464945918669
variable 2,-0.48445578753023805
variable 2,0.9320816029090597
variable 2,-0.04178785301795751
variable 2,-0.7500565482376064
variable 2,-1.4583252434572553
variable 2,-1.104190895847431
variable 2,-0.6615229613351503
variable 2,0.1352793207869547
variable 2,0.7550144291041475
variable 2,0.400880081494323
variable 2,0.5779472552992353
variable 2,1.0206151898115159
variable 2,-1.104190895847431
variable 2,0.0467457338844986
variable 2,-0.48445578753023805
variable 2,0.2238129076894108
variable 2,0.9320816029090597
variable 2,0.48941366839677913
variable 2,-1.281258069652343
variable 2,-0.8385901351400625
variable 2,-1.7239260041646236
variable 2,-1.6353924172621674
variable 2,-1.4583252434572553
variable 2,-1.3697916565547992
variable 2,1.3747495374213403
variable 2,1.817417471933621
variable 2,1.197682363616428
variable 2,-0.39592220062778194
variable 2,0.9320816029090597
